player_id,player_name,player_team,player_position,player_depth_chart_position
3929,Terry Williams,,RB,
4393,Cameron Malveaux,,DE,
744,Mike Windt,,LS,
6426,Chandler Brewer,JAX,OL,
4520,Travin Dural,,WR,
2421,Rodney Gunter,,DE,
4138,Cameron Sutton,DET,CB,LCB
8176,Danny Gray,SF,WR,
2536,Brian Mihalik,,OT,
4598,Storm Norton,ATL,T,RT
4514,Chanceller James,,SS,
255,James Ihedigbo,,SS,
747,Erik Lorig,,FB,
2560,Zach Zenner,,RB,
7368,Sean Riley,,WR,
8429,Levi Lewis,,QB,
5451,Curtis Mikell,,CB,
2460,C.J. Uzomah,NYJ,TE,TE
1312,Josh Bellamy,,WR,
5759,Nate Holley,,DB,
10912,Steve Avila,LAR,C,LG
7267,Willington Previlon,DAL,DT,
340,Lex Hilliard,,RB,
10860,Malik Cunningham,NE,QB,
4796,Duplicate Player,BUF,,
590,Corey Wootton,,DE,
2969,Michael Bennett,,WR,
11429,Kaevon Merriweather,TB,DB,FS
9495,Rakim Jarrett,TB,WR,RWR
5468,Christian Scotland-Williamson,,TE,
1422,Khalid Wooten,,CB,
7394,Jermiah Braswell,,WR,
3162,Ronnie Stanley,BAL,T,LT
4447,Rickey Jefferson,,SS,
4339,Kyle Kalis,,G,
3188,Sheldon Rankins,HOU,DT,RDT
2453,Cedric Thompson,,SS,
5984,Anthony Ratliff-Williams,,WR,
4079,Kevin King,,CB,
1916,Martavis Bryant,,WR,
1063,Courtney Upshaw,,DE,
2920,Jeret Smith,,WR,
3415,Jonathan Jones,NE,DB,RCB
4822,Malik Foreman,,CB,
1655,Kenbrell Thompkins,,WR,
2569,Jake Waters,,QB,
3246,Daryl Worley,BAL,CB,
4877,Drew Williams,,LS,
1006,Mitch Unrein,,DE,
1772,J Talley,,WR,
8276,Jalyn Armour-Davis,BAL,DB,RCB
2128,Travis Swanson,,C,
1194,Leonard Johnson,,CB,
2049,Javontee Herndon,,WR,
875,Allen Bailey,,DE,
6777,Troy Polamalu,,SS,
143,John Carlson,,TE,
2685,Jordan Taylor,,WR,
5063,Justin Jones,CHI,DT,LDT
710,Joe Reitz,,T,
366,Kenny Britt,,WR,
2811,Matt Longacre,,LB,
2888,Raymon Taylor,,CB,
4205,Ukeme Eligwe,,LB,
8629,Will Miles,,DT,
4265,Elijah Hood,,RB,
4372,Jarveon Williams,,RB,
3230,Vonn Bell,CAR,DB,FS
2643,Deshazor Everett,WAS,DB,
3708,Kyle Kragen,,OLB,
8311,Terrel Bernard,BUF,LB,MLB
7119,Kenny Robinson,,DB,
3247,Joe Thuney,KC,OL,LG
1994,Chris Smith,,DE,
8308,Derek Stingley,HOU,DB,
6298,Chandler Cox,,FB,
2302,T.J. Fatinikun,,DE,
7617,Matt Ammendola,,K,
7389,Sterling Johnson,,DT,
836,Jabaal Sheard,,DE,
3786,George Fant,HOU,OT,RT
10902,Cody Mauch,TB,T,RG
638,Kyle Williams,,WR,
6588,Tom Kennedy,,WR,
657,Adam Jones,,CB,
3295,Dean Lowry,MIN,DE,LDE
842,Marcus Gilbert,,OT,
6536,Kevin Strong,ARI,DE,LDE
4319,Zach Pascal,ARI,WR,RWR
4163,Jalen Reeves-Maybin,DET,LB,ROLB
8794,Roderick Perry,,DT,
3931,Isaiah Williams,,OL,
4953,Mike Maccagnan,,,
2830,Caushaud Lyons,,DT,
6474,Brandon Hitner,,OT,
4908,Steve Keim,,,
7082,Dalton Keene,HOU,TE,
7332,Kevin McGill,,DB,
1978,Tony Washington,,WR,
3797,Bryce Treggs,,WR,
3758,A.J. Hendy,,SS,
11288,Donavan Mutin,,LB,
2173,Kimario McFadden,,S,
6126,Irv Smith,CIN,TE,TE
3910,Pete Carroll,,,
7157,Josh Love,,QB,
4623,Tim Cook,,RB,
3906,John Schneider,,,
3607,Trevon Hartfield,,CB,
4417,Cole Croston,,G,
5511,Chris Frey,,LB,
6162,Darius West,,S,
2545,Geoff Swaim,ARI,TE,TE
2168,Devonta Freeman,,RB,
6208,Elliott Fry,,K,
2892,Rodney Smith,,RB,
7913,Shaq Smith,,LB,
862,Blaine Gabbert,KC,QB,QB
9505,Deuce Vaughn,DAL,RB,KR
1448,Demetrius McCray,,CB,
11166,Jaiden Woodbey,,LB,
1613,Otha Foster,,SS,
11063,Connor Galvin,DET,T,RT
